Version, File Name, NR, NAuth, Loc Added, Avg Loc Added, Max Loc Added, Churn, Avg Churn, Max Churn, Chg Set Size, Avg Chg Set, Max Chg Set, Buggy
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,11.0,3.0,76.0,6.909091,19.0,-25.0,-2.2727273,9.0,375.0,34.090908,170.0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,8.0,3.0,549.0,68.625,378.0,510.0,63.75,378.0,59.0,7.375,24.0,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CompactionTest.java,3.0,2.0,332.0,110.666664,317.0,319.0,106.333336,317.0,32.0,10.666667,17.0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,10.0,2.0,579.0,57.9,377.0,549.0,54.9,377.0,70.0,7.0,38.0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,3.0,1.0,589.0,196.33333,550.0,576.0,192.0,550.0,35.0,11.666667,24.0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,6.0,3.0,40.0,6.6666665,17.0,19.0,3.1666667,15.0,310.0,51.666668,170.0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,6.0,3.0,27.0,4.5,9.0,12.0,2.0,7.0,282.0,47.0,170.0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,2.0,1.0,202.0,101.0,195.0,196.0,98.0,195.0,23.0,11.5,17.0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,18.0,4.0,307.0,17.055555,48.0,121.0,6.7222223,43.0,398.0,22.11111,170.0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,33.0,4.0,1273.0,38.575756,275.0,219.0,6.6363635,194.0,522.0,15.818182,170.0,YES
