Version, File Name, NR, NAuth, Loc Added, Avg Loc Added, Max Loc Added, Churn, Avg Churn, Max Churn, Chg Set Size, Avg Chg Set, Max Chg Set, Buggy
1,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeer.java,13.0,3.0,938.0,72.15385,573.0,19.0,1.4615384,79.0,397.0,30.538462,151.0,YES
1,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerConfig.java,8.0,3.0,382.0,47.75,210.0,14.0,1.75,11.0,322.0,40.25,151.0,YES
1,src/java/main/org/apache/zookeeper/server/DataTree.java,13.0,4.0,305.0,23.461538,139.0,238.0,18.307692,132.0,466.0,35.846153,151.0,YES
1,src/java/main/org/apache/zookeeper/server/NIOServerCnxn.java,11.0,5.0,937.0,85.181816,850.0,40.0,3.6363637,15.0,407.0,37.0,151.0,YES
1,src/java/main/org/apache/zookeeper/server/ServerCnxn.java,5.0,2.0,18.0,3.6,8.0,5.0,1.0,2.0,324.0,64.8,151.0,YES
1,src/java/test/org/apache/zookeeper/test/SessionTest.java,8.0,4.0,189.0,23.625,114.0,87.0,10.875,54.0,291.0,36.375,151.0,YES
1,src/java/main/org/apache/zookeeper/server/FinalRequestProcessor.java,8.0,4.0,61.0,7.625,26.0,21.0,2.625,12.0,365.0,45.625,151.0,YES
1,src/java/main/org/apache/zookeeper/server/ServerStats.java,3.0,2.0,13.0,4.3333335,8.0,5.0,1.6666666,3.0,285.0,95.0,151.0,NO
1,src/java/main/org/apache/zookeeper/server/SessionTracker.java,2.0,1.0,10.0,5.0,8.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/main/org/apache/zookeeper/server/SessionTrackerImpl.java,4.0,3.0,20.0,5.0,8.0,-1.0,-0.25,2.0,316.0,79.0,151.0,NO
1,src/java/main/org/apache/zookeeper/server/ZooKeeperServer.java,12.0,5.0,292.0,24.333334,87.0,-308.0,-25.666666,27.0,454.0,37.833332,151.0,YES
1,src/java/main/org/apache/zookeeper/server/persistence/FileTxnLog.java,4.0,1.0,491.0,122.75,480.0,485.0,121.25,480.0,34.0,8.5,31.0,YES
1,src/java/main/org/apache/zookeeper/server/quorum/Follower.java,8.0,4.0,420.0,52.5,369.0,12.0,1.5,6.0,383.0,47.875,151.0,NO
1,src/java/main/org/apache/zookeeper/server/quorum/Leader.java,8.0,4.0,148.0,18.5,57.0,46.0,5.75,37.0,345.0,43.125,151.0,YES
1,src/java/main/org/apache/zookeeper/server/ServerConfig.java,4.0,2.0,40.0,10.0,19.0,0.0,0.0,2.0,269.0,67.25,151.0,YES
1,src/java/main/org/apache/zookeeper/server/ZooKeeperServerMain.java,3.0,2.0,92.0,30.666666,74.0,86.0,28.666666,74.0,50.0,16.666666,31.0,YES
1,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerMain.java,4.0,3.0,123.0,30.75,112.0,115.0,28.75,112.0,64.0,16.0,31.0,YES
1,src/java/main/org/apache/zookeeper/ClientCnxn.java,17.0,5.0,459.0,27.0,98.0,187.0,11.0,58.0,450.0,26.470589,151.0,YES
1,src/java/main/org/apache/zookeeper/server/SyncRequestProcessor.java,8.0,4.0,339.0,42.375,264.0,-118.0,-14.75,17.0,384.0,48.0,151.0,YES
